Wavelength (nm)	Intensity
199.255190	0.000000
199.268860	0.000000
199.282520	0.000000
199.296170	0.000000
199.309840	0.000000
199.323500	0.000000
199.337170	0.000000
199.350830	0.000000
199.364490	0.000000
199.378160	0.000000
199.391830	0.000000
199.405490	0.000000
199.419160	0.000000
199.432820	0.000000
199.446490	0.000000
199.460160	0.000000
199.473820	0.000000
199.487490	0.000000
199.501160	0.000000
199.514830	0.000000
199.528500	0.000000
199.542160	0.000000
199.555830	0.000000
199.569500	0.000000
199.583180	0.000000
199.596850	0.000000
199.610520	0.000000
199.624190	0.000000
199.637860	0.000000
199.651540	0.000000
199.665210	0.000000
199.678890	0.000000
199.692570	0.000000
199.706240	0.000000
199.719910	0.000000
199.733580	0.000000
199.747270	0.000000
199.760940	0.000000
199.774610	0.000000
199.788300	0.000000
199.801970	0.000000
199.815640	0.000000
199.829330	0.000000
199.843000	0.000000
199.856690	0.000000
199.870360	0.000000
199.884050	0.000000
199.897740	0.000000
199.911410	0.000000
199.925090	0.000000
199.938770	0.000000
199.952450	0.000000
199.966140	0.000000
199.979830	0.000000
199.993500	0.000000
200.007190	0.000000
200.020870	0.000000
200.034560	0.000000
200.048250	0.000000
200.061940	0.000000
200.075620	0.000000
200.089310	0.000000
200.103000	0.000000
200.116680	0.000000
200.130370	0.000000
200.144060	0.000000
200.157750	0.000000
200.171430	0.000000
200.185120	0.000000
200.198810	0.000000
200.212510	0.000000
200.226200	0.000000
200.239880	0.000000
200.253570	0.000000
200.267270	0.000000
200.280960	0.000000
200.294660	0.000000
200.308350	0.000000
200.322040	0.000000
200.335740	206.557000
200.349430	-108.038000
200.363130	-130.623000
200.376830	39.265300
200.390520	26.355500
200.404220	-3.758420
200.417910	107.088000
200.431610	-4.149470
200.445310	-157.468000
200.459010	46.846000
200.472700	124.602000
200.486400	78.905200
200.500110	148.179000
200.513810	128.138000
200.527510	15.108700
200.541210	80.509200
200.554900	42.301400
200.568600	28.445900
200.582310	126.672000
200.596010	99.267900
200.609710	-151.092000
200.623430	101.032000
200.637130	112.063000
200.650830	102.851000
200.664540	-43.298800
200.678240	235.096000
200.691940	-78.941200
200.705660	-46.394500
200.719360	137.144000
200.733060	217.904000
200.746770	219.199000
200.760480	224.002000
200.774190	221.697000
200.787900	396.451000
200.801610	420.714000
200.815320	368.068000
200.829030	116.607000
200.842740	450.411000
200.856450	142.508000
200.870160	287.413000
200.883870	490.328000
200.897580	294.863000
200.911300	269.743000
200.925000	214.361000
200.938720	131.820000
200.952440	231.825000
200.966160	75.667500
200.979860	300.658000
200.993580	277.042000
201.007290	177.177000
201.021010	268.412000
201.034730	211.834000
201.048450	129.507000
201.062160	65.602300
201.075880	-30.382100
201.089600	108.089000
201.103320	146.255000
201.117030	148.581000
201.130750	83.814600
201.144470	64.979000
201.158200	-46.461400
201.171920	32.397400
201.185640	160.413000
201.199360	-5.004890
201.213090	-10.327000
201.226810	-28.669800
201.240520	107.932000
201.254260	-1.355400
201.267970	80.966400
201.281710	119.232000
201.295430	139.752000
201.309160	42.800500
201.322880	-70.757600
201.336610	-78.118800
201.350330	-180.138000
201.364060	11.954700
201.377780	-124.288000
201.391510	63.268400
201.405240	-28.925800
201.418980	187.861000
201.432690	167.288000
201.446430	215.740000
201.460160	128.239000
201.473890	42.275100
201.487630	83.511000
201.501360	246.091000
201.515080	213.439000
201.528810	158.040000
201.542540	472.729000
201.556270	361.620000
201.570010	45.750000
201.583760	-15.016100
201.597490	191.646000
201.611220	52.160100
201.624950	68.673100
201.638690	-25.794000
201.652420	37.631000
201.666170	-7.524220
201.679900	36.008500
201.693630	121.860000
201.707370	85.755400
201.721120	375.576000
201.734850	253.857000
201.748600	223.078000
201.762330	249.946000
201.776080	195.586000
201.789810	159.198000
201.803560	184.819000
201.817290	17.531600
201.831040	-114.366000
201.844770	-40.133200
201.858520	126.040000
201.872270	192.932000
201.886000	276.044000
201.899750	50.582100
201.913500	82.050100
201.927250	163.411000
201.940990	49.713800
201.954730	33.188500
201.968480	112.133000
201.982220	197.139000
201.995970	200.934000
202.009720	93.291400
202.023470	243.352000
202.037220	179.448000
202.050960	224.917000
202.064710	137.353000
202.078460	44.072900
202.092220	106.148000
202.105970	202.747000
202.119720	260.891000
202.133470	164.281000
202.147220	122.678000
202.160980	310.946000
202.174730	64.555500
202.188480	23.407900
202.202240	-97.503800
202.215990	-36.226100
202.229750	-32.230900
202.243500	5.665940
202.257260	-46.074000
202.271010	-26.727900
202.284770	106.547000
202.298520	38.413400
202.312290	126.059000
202.326030	144.273000
202.339800	145.069000
202.353560	156.668000
202.367320	162.654000
202.381070	132.970000
202.394840	116.518000
202.408600	169.313000
202.422360	225.906000
202.436130	324.093000
202.449890	166.498000
202.463640	106.122000
202.477400	181.053000
202.491170	13.114700
202.504930	186.489000
202.518690	141.124000
202.532470	-17.638000
202.546230	36.848500
202.560000	142.792000
202.573760	42.974700
202.587520	146.863000
202.601290	83.885900
202.615070	129.810000
202.628830	246.089000
202.642590	353.319000
202.656370	121.341000
202.670140	146.561000
202.683900	99.968200
202.697680	62.151400
202.711440	21.193700
202.725220	102.136000
202.738980	90.587800
202.752760	14.369900
202.766530	32.534700
202.780300	231.764000
202.794080	226.788000
202.807850	177.384000
202.821620	-24.545700
202.835400	-190.891000
202.849170	167.703000
202.862950	10.965600
202.876720	246.089000
202.890500	69.467500
202.904280	43.270800
202.918060	17.877600
202.931840	58.643400
202.945620	-17.840400
202.959400	32.783300
202.973180	41.542700
202.986950	32.651100
203.000730	76.072700
203.014510	61.416400
203.028290	140.423000
203.042070	121.475000
203.055850	125.431000
203.069640	-110.243000
203.083420	20.390700
203.097200	113.146000
203.110980	69.158300
203.124770	242.618000
203.138550	186.952000
203.152330	91.244000
203.166120	28.947400
203.179900	-27.358700
203.193700	206.886000
203.207470	161.716000
203.221270	140.787000
203.235060	112.041000
203.248840	231.095000
203.262630	14.428200
203.276410	-169.264000
203.290210	49.718700
203.304000	64.978100
203.317790	59.499500
203.331570	229.361000
203.345370	360.372000
203.359160	196.525000
203.372960	262.203000
203.386750	239.920000
203.400540	25.015100
203.414340	332.412000
203.428130	351.806000
203.441930	254.519000
203.455720	53.428600
203.469510	273.997000
203.483310	197.508000
203.497100	173.967000
203.510890	265.116000
203.524700	223.173000
203.538500	65.787100
203.552290	-29.913300
203.566090	78.729300
203.579900	157.877000
203.593690	78.464000
203.607480	-37.850500
203.621290	-119.746000
203.635090	9.751690
203.648900	-31.576500
203.662690	61.603500
203.676500	68.788000
203.690290	114.139000
203.704100	-9.155300
203.717910	92.106700
203.731700	120.125000
203.745510	92.041300
203.759320	112.270000
203.773120	13.909100
203.786930	222.687000
203.800740	336.381000
203.814540	439.463000
203.828350	255.350000
203.842150	181.968000
203.855960	149.457000
203.869770	71.714100
203.883580	52.022600
203.897380	51.685400
203.911190	-44.190000
203.925000	57.686300
203.938830	72.971700
203.952640	104.770000
203.966450	107.611000
203.980260	34.340000
203.994060	288.564000
204.007890	368.312000
204.021700	128.400000
204.035510	153.743000
204.049320	243.406000
204.063140	189.335000
204.076950	114.569000
204.090770	91.658000
204.104580	55.447400
204.118410	154.155000
204.132220	203.809000
204.146040	188.919000
204.159850	14.673500
204.173680	119.050000
204.187500	-56.626900
204.201310	-30.858900
204.215130	32.292100
204.228960	79.396400
204.242770	95.330000
204.256590	122.486000
204.270420	191.856000
204.284240	263.357000
204.298070	80.288100
204.311890	95.543100
204.325710	-50.082200
204.339540	9.903180
204.353360	25.682100
204.367190	127.586000
204.381010	67.942700
204.394840	21.944200
204.408660	187.688000
204.422490	140.993000
204.436310	78.477300
204.450130	107.088000
204.463970	114.937000
204.477800	222.213000
204.491620	130.462000
204.505460	63.723900
204.519290	-28.884800
204.533110	149.364000
204.546950	-56.127400
204.560780	156.883000
204.574620	42.018700
204.588440	190.338000
204.602280	258.869000
204.616100	220.787000
204.629940	320.232000
204.643780	305.524000
204.657610	319.403000
204.671450	287.928000
204.685290	298.666000
204.699110	325.984000
204.712950	276.554000
204.726790	115.378000
204.740630	2.699610
204.754470	174.159000
204.768310	477.070000
204.782150	728.758000
204.795990	818.334000
204.809830	333.477000
204.823670	322.606000
204.837510	254.711000
204.851350	438.887000
204.865190	494.765000
204.879030	690.064000
204.892870	692.056000
204.906710	478.949000
204.920560	396.964000
204.934400	399.158000
204.948240	429.756000
204.962100	290.675000
204.975940	175.917000
204.989780	246.513000
205.003630	342.613000
205.017470	212.455000
205.031330	277.892000
205.045170	182.354000
205.059020	96.015500
205.072860	58.939500
205.086720	46.412200
205.100570	100.238000
205.114410	278.593000
205.128270	523.909000
205.142120	296.538000
205.155980	92.494800
205.169820	139.249000
205.183670	135.630000
205.197530	387.628000
205.211380	409.434000
205.225230	473.688000
205.239090	304.505000
205.252940	503.753000
205.266800	518.957000
205.280650	355.855000
205.294510	202.622000
205.308360	334.520000
205.322220	337.869000
205.336070	268.979000
205.349930	180.956000
205.363800	196.212000
205.377660	136.827000
205.391510	271.866000
205.405380	291.237000
205.419240	393.976000
205.433090	371.080000
205.446960	9.985710
205.460820	90.033800
205.474690	159.711000
205.488540	205.824000
205.502410	107.812000
205.516270	226.491000
205.530140	260.186000
205.543990	381.287000
205.557860	317.554000
205.571730	157.587000
205.585590	285.787000
205.599460	435.028000
205.613330	43.316600
205.627200	155.151000
205.641070	145.102000
205.654920	155.699000
205.668790	120.180000
205.682660	263.081000
205.696530	245.118000
205.710400	179.544000
205.724270	223.802000
205.738140	200.045000
205.752010	66.522100
205.765900	-53.458900
205.779770	18.469900
205.793640	-7.409160
205.807510	42.017700
205.821380	113.447000
205.835270	64.805100
205.849140	280.763000
205.863010	322.904000
205.876890	295.985000
205.890760	176.477000
205.904630	33.974200
205.918520	127.371000
205.932390	216.226000
205.946270	85.307200
205.960140	201.898000
205.974030	170.656000
205.987920	382.037000
206.001790	128.396000
206.015670	12.191400
206.029560	86.737800
206.043430	166.362000
206.057310	56.376700
206.071200	15.052700
206.085080	129.219000
206.098970	113.824000
206.112840	131.656000
206.126720	227.865000
206.140610	218.431000
206.154500	380.839000
206.168380	311.538000
206.182270	442.075000
206.196150	87.569200
206.210050	53.578400
206.223940	6.827330
206.237820	84.182000
206.251710	151.538000
206.265590	71.734100
206.279500	155.759000
206.293380	243.901000
206.307270	204.809000
206.321170	183.525000
206.335050	-12.352300
206.348940	-11.239000
206.362840	123.684000
206.376720	-90.497700
206.390630	87.003300
206.404510	-2.646050
206.418410	98.745000
206.432310	240.205000
206.446200	185.472000
206.460100	122.115000
206.474000	93.269800
206.487880	135.686000
206.501790	205.448000
206.515690	136.676000
206.529590	177.805000
206.543490	79.819200
206.557370	26.897300
206.571270	210.473000
206.585170	236.541000
206.599080	253.144000
206.612980	237.611000
206.626880	184.199000
206.640780	401.582000
206.654680	458.998000
206.668590	466.506000
206.682500	487.854000
206.696400	424.567000
206.710300	61.941900
206.724200	47.542400
206.738110	137.618000
206.752010	223.218000
206.765910	224.380000
206.779830	359.846000
206.793730	248.283000
206.807650	305.639000
206.821550	72.778400
206.835460	219.229000
206.849370	277.916000
206.863280	341.651000
206.877180	294.611000
206.891100	307.602000
206.905010	345.939000
206.918910	250.359000
206.932830	319.023000
206.946750	228.334000
206.960660	253.316000
206.974580	350.352000
206.988480	600.577000
207.002400	429.901000
207.016310	295.711000
207.030230	364.355000
207.044140	390.843000
207.058060	222.790000
207.071980	254.678000
207.085890	388.232000
207.099810	368.867000
207.113740	364.798000
207.127660	465.533000
207.141570	401.267000
207.155490	369.324000
207.169400	346.451000
207.183330	179.495000
207.197250	184.930000
207.211170	237.331000
207.225100	249.999000
207.239010	483.972000
207.252940	673.238000
207.266860	527.482000
207.280790	385.656000
207.294710	334.611000
207.308640	293.140000
207.322570	154.688000
207.336490	154.983000
207.350420	289.401000
207.364350	87.970000
207.378270	93.989100
207.392200	87.991300
207.406130	317.106000
207.420060	227.906000
207.433990	74.064100
207.447910	3.255870
207.461840	150.466000
207.475770	231.889000
207.489700	108.795000
207.503630	202.294000
207.517560	334.968000
207.531510	255.360000
207.545440	232.909000
207.559370	268.586000
207.573300	201.813000
207.587230	201.182000
207.601170	186.258000
207.615110	212.077000
207.629040	174.527000
207.642970	159.094000
207.656920	221.881000
207.670850	123.698000
207.684800	337.209000
207.698730	371.948000
207.712680	438.674000
207.726610	345.257000
207.740550	334.191000
207.754490	110.024000
207.768430	283.875000
207.782380	321.876000
207.796310	261.789000
207.810260	280.730000
207.824200	435.380000
207.838150	330.343000
207.852080	422.783000
207.866030	318.467000
207.879970	339.619000
207.893920	461.865000
207.907870	-140.650000
207.921810	47.463500
207.935760	80.032000
207.949710	139.202000
207.963650	194.011000
207.977600	146.426000
207.991550	205.790000
208.005510	284.819000
208.019450	268.875000
208.033400	187.316000
208.047350	208.627000
208.061310	199.918000
208.075260	145.004000
208.089200	148.173000
208.103160	208.555000
208.117110	296.092000
208.131070	148.542000
208.145020	203.127000
208.158980	53.904700
208.172930	200.391000
208.186890	305.215000
208.200840	142.625000
208.214800	-14.772900
208.228760	87.944100
208.242710	195.697000
208.256670	283.548000
208.270630	273.977000
208.284590	164.670000
208.298550	270.050000
208.312520	-75.246800
208.326460	111.003000
208.340420	35.632700
208.354390	157.829000
208.368350	211.907000
208.382310	239.774000
208.396290	366.513000
208.410250	458.637000
208.424210	393.131000
208.438170	368.229000
