element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""201.6589""","=""0.0010""","=""10""","=""5.14e+07""",C,"=""25.8373471""","=""31.983597""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",,"=""T5723LS""","=""L10549""",
C,2,"=""201.794""","=""0.004""","=""76ql""","=""2.64e+07""",B,"=""16.3317419""","=""22.473900""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.6s""","=""2S""","=""1/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""201.838""","=""0.004""","=""99ql""","=""5.26e+07""",B,"=""16.3331238""","=""22.473900""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6s""","=""2S""","=""1/2""",,"=""T5109LS""","=""L1176""",
O,2,"=""202.0340""","=""0.0010""","=""12""","=""1.19e+08""",C,"=""25.8487467""","=""31.983597""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",,"=""T5723LS""","=""L10549""",
O,2,"=""202.1445""","=""0.0010""","=""10""","=""4.72e+07""",C,"=""25.8316247""","=""31.963118""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10549""",
O,2,"=""202.3332""","=""0.0010""","=""10""","=""1.51e+07""",C,"=""25.8373471""","=""31.963118""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10549""",
O,2,"=""202.5694""","=""0.0010""","=""5""","=""9.40e+06""",C,"=""25.8316247""","=""31.950200""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",,"=""T5723LS""","=""L10549""",
O,2,"=""202.7103""","=""0.0010""","=""10""","=""5.08e+07""",C,"=""25.8487467""","=""31.963118""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""3/2""",,"=""T5723LS""","=""L10549""",
O,2,"=""202.7603""","=""0.0010""","=""10""","=""4.68e+07""",C,"=""25.8373471""","=""31.950200""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""1/2""",,"=""T5723LS""","=""L10549""",
C,2,"=""205.179""","=""0.006""","=""87h*""","=""1.44e+08""",B,"=""22.527518""","=""28.5683""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).5d""","=""4F*""","=""3/2""",,"=""T5109LS""","=""L1176""",
